fecha_registro,origen_registro,orden_buscada,orden_suministro,tipo_entrega,entidad,almacen_clues_destino,clues_destino,unidad_destino,proveedor,orden,clave_cnis,descripcion,piezas_emitidas,piezas_recibidas_ol,piezas_entregadas_clues,tipo_red,grupo_terapeutico,estatus_operativo,estatus_base,origen_compendio,operador_logistico,estatus_recepcion_ol,estatus_entrega_estado,estatus_incidencia_completa,tipo_incidencia,atribuible_a,estatus_incidencia,responsable,observaciones,pdf_cedula_rechazo,pdf_correo_seguimiento
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16244042-U013,IMBB-16-02-2025-16244042-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16244042-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16244043-U013,IMBB-16-02-2025-16244043-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16244043-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16235762-U013,IMBB-16-02-2025-16235762-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16235762-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16243992-U013,IMBB-16-02-2025-16243992-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16243992-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16235694-U013,IMBB-16-02-2025-16235694-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16235694-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16255955-U013,IMBB-16-02-2025-16255955-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16255955-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16256018-U013,IMBB-16-02-2025-16256018-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16256018-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMB-1602-2026-16002325-U013,IMB-1602-2026-16002325-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMB-1602-2026-16002325-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16256018-U013,IMBB-16-02-2025-16256018-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16256018-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMBB-16-02-2025-16256017-U013,IMBB-16-02-2025-16256017-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMBB-16-02-2025-16256017-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMB-16-02-2026-16002321-U013,IMB-16-02-2026-16002321-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMB-16-02-2026-16002321-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-01,CARGA EXCEL,IMB-16-02-2026-16002319-U013,IMB-16-02-2026-16002319-U013,,MICHOACAN DE OCAMPO,IMSSB20240207MORE-ALMACÉN CARELAB MICHOACÁN,,,,IMB-16-02-2026-16002319-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,FALTA DE REMISIÓN INTERNA,,
2026-01-21,CARGA EXCEL,IMBB-26-02-2025-26259030-U013,IMBB-26-02-2025-26259030-U013,,SONORA,SRSSA017503-DEPARTAMENTO DE ALMACEN Y ABASTECIMIENTO DE LOS SERVICIOS DE SALUD DE SONORA,,,,IMBB-26-02-2025-26259030-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,REPROGRAMAR CITA,,
2026-01-21,CARGA EXCEL,IMBB-12-02-2025-12235193-U013,IMBB-12-02-2025-12235193-U013,,GUERRERO,SRSSA017503-DEPARTAMENTO DE ALMACEN Y ABASTECIMIENTO DE LOS SERVICIOS DE SALUD DE SONORA,,,,IMBB-12-02-2025-12235193-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,REPROGRAMAR CITA,,
2026-01-21,CARGA EXCEL,IMBB-32-02-2025-32260958-U013,IMBB-32-02-2025-32260958-U013,,ZACATECAS,ZSSSA012504-DEPARTAMENTO DE ALMACÉN Y DISTRIBUCIÓN,,,,IMBB-32-02-2025-32260958-U013,,,,,,,,EN PROCESO,,,,,,,,ESTADO,,,SIN LEYENDA COMPLETA DE ENTERA SATISFACCION,,
2026-01-21,CARGA EXCEL,IMBB-32-02-2025-32260961-U013,IMBB-32-02-2025-32260961-U013,,ZACATECAS,ZSSSA012504-DEPARTAMENTO DE ALMACÉN Y DISTRIBUCIÓN,,,,IMBB-32-02-2025-32260961-U013,,,,,,,,EN PROCESO,,,,,,,,ESTADO,,,SIN LEYENDA COMPLETA DE ENTERA SATISFACCION,,
2026-01-21,CARGA EXCEL,,,,OAXACA,OCIMB000012-ALMACEN DELEGACIONAL IMSS-BIENESTAR OAXACA ,,,,,,,,,,,,EN PROCESO,,,,,,,,ESTADO,,,NO HAN COMPARTIDO DE MANERA OFICIAL LA ADICIÓN DE CLUES,,
2026-01-21,CARGA EXCEL,IMBB-26-02-2025-26259030-U013,IMBB-26-02-2025-26259030-U013,,OAXACA,OCIMB000012-ALMACEN DELEGACIONAL IMSS-BIENESTAR OAXACA ,,,,IMBB-26-02-2025-26259030-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,REPROGRAMAR CITA,,
2026-01-21,CARGA EXCEL,U00-14-02-2026-14000831-SADMI,U00-14-02-2026-14000831-SADMI,,JALISCO,JCSSA002195-O.P.D. HOSPITAL CIVIL DE GUADALAJARA FRAY ANTONIO ALCALDE,,,,U00-14-02-2026-14000831-SADMI,,,,,,,,RECHAZADO,,,,,,,,PROVEEDOR,,,EXCURCIÓN DE TEMPERATURA,,
2026-01-21,CARGA EXCEL,U00-14-02-2026-14000734-SADMI,U00-14-02-2026-14000734-SADMI,,JALISCO,JCSSA002195-O.P.D. HOSPITAL CIVIL DE GUADALAJARA FRAY ANTONIO ALCALDE,,,,U00-14-02-2026-14000734-SADMI,,,,,,,,RECHAZADO,,,,,,,,PROVEEDOR,,,EXCURCIÓN DE TEMPERATURA,,
2026-01-12,CARGA EXCEL,SIAB-28-02-2025-28263063-U013,SIAB-28-02-2025-28263063-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,SIAB-28-02-2025-28263063-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-12,CARGA EXCEL,IMBB-02-02-2025-02253001-U013,IMBB-02-02-2025-02253001-U013,,BAJA CALIFORNIA,BCSSA001724-ALMACEN TIJUANA,,,,IMBB-02-02-2025-02253001-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-12,CARGA EXCEL,SIAB-28-02-2025-28263063-U013,SIAB-28-02-2025-28263063-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,SIAB-28-02-2025-28263063-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-12,CARGA EXCEL,IMBB-28-02-2025-28259848-U013,IMBB-28-02-2025-28259848-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259848-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-13,CARGA EXCEL,IMBB-25-02-2025-25258794-U013,IMBB-25-02-2025-25258794-U013,,SINALOA,SLSSA002590-CENTRO LOGISTISCO DE LOS SERVICIOS DE SALUD DE SINALOA,,,,IMBB-25-02-2025-25258794-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-12,CARGA EXCEL,IMBB-28-02-2025-28247691-U013,IMBB-28-02-2025-28247691-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247691-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-14,CARGA EXCEL,IMBB-02-02-2025-02252824-U013,IMBB-02-02-2025-02252824-U013,,BAJA CALIFORNIA,BCSSA017521-ALMACÉN ZONA MEXICALI,,,,IMBB-02-02-2025-02252824-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259925-U013,IMBB-28-02-2025-28259925-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259925-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259922-U013,IMBB-28-02-2025-28259922-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259922-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259916-U013,IMBB-28-02-2025-28259916-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259916-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259818-U013,IMBB-28-02-2025-28259818-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259818-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259913-U013,IMBB-28-02-2025-28259913-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259913-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259880-U013,IMBB-28-02-2025-28259880-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259880-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259874-U013,IMBB-28-02-2025-28259874-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259874-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28250140-U013,IMBB-28-02-2025-28250140-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28250140-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28250139-U013,IMBB-28-02-2025-28250139-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28250139-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28250129-U013,IMBB-28-02-2025-28250129-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28250129-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247794-U013,IMBB-28-02-2025-28247794-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247794-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247789-U013,IMBB-28-02-2025-28247789-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247789-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247787-U013,IMBB-28-02-2025-28247787-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247787-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247744-U013,IMBB-28-02-2025-28247744-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247744-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28250137-U013,IMBB-28-02-2025-28250137-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28250137-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247783-U013,IMBB-28-02-2025-28247783-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247783-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247781-U013,IMBB-28-02-2025-28247781-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247781-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247780-U013,IMBB-28-02-2025-28247780-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247780-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28247747-U013,IMBB-28-02-2025-28247747-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28247747-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,SIAB-28-02-2025-28251559-U013,SIAB-28-02-2025-28251559-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,SIAB-28-02-2025-28251559-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28259876-U013,IMBB-28-02-2025-28259876-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259876-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28250130-U013,IMBB-28-02-2025-28250130-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28250130-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28226223-U013,IMBB-28-02-2025-28226223-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28226223-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28226191-U013,IMBB-28-02-2025-28226191-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28226191-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28226213-U013,IMBB-28-02-2025-28226213-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28226213-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28226214-U013,IMBB-28-02-2025-28226214-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28226214-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28238520-U013,IMBB-28-02-2025-28238520-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28238520-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28238480-U013,IMBB-28-02-2025-28238480-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28238480-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28238517-U013,IMBB-28-02-2025-28238517-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28238517-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28238542-U013,IMBB-28-02-2025-28238542-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28238542-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL,IMBB-28-02-2025-28238544-U013,IMBB-28-02-2025-28238544-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28238544-U013,,,,,,,,EN PROCESO,,,,,,,,PROVEEDOR,,,EN PROCESO,,
2026-01-14,CARGA EXCEL, IMBB-28-02-2025-28238406-U013, IMBB-28-02-2025-28238406-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,, IMBB-28-02-2025-28238406-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259693-U013,IMBB-28-02-2025-28259693-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259693-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259768-U013,IMBB-28-02-2025-28259768-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259768-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259705-U013,IMBB-28-02-2025-28259705-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259705-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259731-U013,IMBB-28-02-2025-28259731-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259731-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259732-U013,IMBB-28-02-2025-28259732-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259732-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259750-U013,IMBB-28-02-2025-28259750-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259750-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259775-U013,IMBB-28-02-2025-28259775-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259775-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMBB-28-02-2025-28259794-U013,IMBB-28-02-2025-28259794-U013,,TAMAULIPAS,TSSSA017786-ALMACÉN CENTRAL ESTATAL  DE INSUMOS,,,,IMBB-28-02-2025-28259794-U013,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-15,CARGA EXCEL,IMB-04-01-2024-04000594-ASF,IMB-04-01-2024-04000594-ASF,,CAMPECHE,CCSSA002101-ALMACEN GENERAL HEROES DE NACOZARI,,,,IMB-04-01-2024-04000594-ASF,,,,,,,,RESUELTO,,,,,,,,PROVEEDOR,,,RESUELTO,,
2026-01-22,CARGA EXCEL,ZIMB-16-01-2025-16010391-U013,ZIMB-16-01-2025-16010391-U013,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,ZIMB-16-01-2025-16010391-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"FALTA DE RAZON SOCIAL EN REMISIÓN DE ENVIO, INTERNA DEL PROVEEDOR ",,
2026-01-22,CARGA EXCEL,IMBB-16-01-2025-16194127-E001,IMBB-16-01-2025-16194127-E001,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,IMBB-16-01-2025-16194127-E001,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"FALTA DE RAZON SOCIAL EN REMISIÓN DE ENVIO, INTERNA DEL PROVEEDOR ",,
2026-01-22,CARGA EXCEL,IMBB-16-01-2025-16194128-E001,IMBB-16-01-2025-16194128-E001,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,IMBB-16-01-2025-16194128-E001,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"FALTA DE RAZON SOCIAL EN REMISIÓN DE ENVIO, INTERNA DEL PROVEEDOR ",,
2026-01-22,CARGA EXCEL,CIMB-16-01-2025-16027732-U013,CIMB-16-01-2025-16027732-U013,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,CIMB-16-01-2025-16027732-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"FALTA DE RAZON SOCIAL EN REMISIÓN DE ENVIO, INTERNA DEL PROVEEDOR ",,
2026-01-22,CARGA EXCEL,IMB-16-01-2024-1601072254-F,IMB-16-01-2024-1601072254-F,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,IMB-16-01-2024-1601072254-F,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"FALTA DE RAZON SOCIAL EN REMISIÓN DE ENVIO, INTERNA DEL PROVEEDOR, CORTA CADUCIDAD (SIN OFICIO)",,
2026-01-22,CARGA EXCEL,BIMB-16-01-2024-1601029035-SAEAC,BIMB-16-01-2024-1601029035-SAEAC,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,BIMB-16-01-2024-1601029035-SAEAC,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"REMISIÓN VENCIDA, SUMINSITRO DEL EJERCICIO 2024",,
2026-01-22,CARGA EXCEL,IMBB-16-01-2025-16196359-U013,IMBB-16-01-2025-16196359-U013,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,IMBB-16-01-2025-16196359-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"ENTREGA VENCIDA AÑO 2024, SIN RAZON SOCIAL EN REMISIÓN INTERNA",,
2026-01-22,CARGA EXCEL,IMBB-16-01-2025-16210247-U013,IMBB-16-01-2025-16210247-U013,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,IMBB-16-01-2025-16210247-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,ORDEN DE SUMINSITRO NO SE ENCUENTRA CANCELADA,,
2026-01-22,CARGA EXCEL,IMBB-16-01-2025-16210263-U013,IMBB-16-01-2025-16210263-U013,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,IMBB-16-01-2025-16210263-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"FALTA DE RAZON SOCIAL EN REMISIÓN DE ENVIO, INTERNA DEL PROVEEDOR",,
2026-01-22,CARGA EXCEL,IMBB-16-01-2025-16210226-U013,IMBB-16-01-2025-16210226-U013,,MICHOACAN DE OCAMPO,IMSSB20240207LERMA-LERMA,,,,IMBB-16-01-2025-16210226-U013,,,,,,,,RECHAZADO,,,,,,,,ESTADO,,,"FALTA DE RAZON SOCIAL EN REMISIÓN DE ENVIO, INTERNA DEL PROVEEDOR",,
